TestID,FolderID,Distributor,TestDate,Form,Final Rating,Test Level RM,Retest,Rating1,Rater1,Rating2,Rater2,Rating3,Rater3,File Location,PromptID,Prompt Level RM,Topic,Sub Topic,Prompt Level,Prompt,Source,Machine Transcription,Audio Length,Transcription Time,Transcription Time/sec
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_5330,5330,,GENERAL,banks/money,int2n,Tell me about the money in your country. What do the bills and coins look like?,Credu,im speaking i dont speak in all many people,15.301995464852608,0.47968053817749023,0.03134758073084494
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_5333,5333,,GENERAL,banks/money,nov1,What time does your bank open? What time does your bank close?,Credu,and sometimes it is,18.90108843537415,0.058145761489868164,0.003076318154305126
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_1586,1586,,HOME,alone house,int2n,Can your describe your home?  What does it look like?  Give me a description with a lot of detail.,Credu,im sorry i cant think of fancing,11.215283446712018,0.053434133529663086,0.004764403305859234
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_1593,1593,,HOME,alone house,nov1,"What things do you do everyday?  Wake up, get dressed .... . What else?",Credu,,22.778820861678003,0.0735468864440918,0.003228739840867863
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_2274,2274,,WORK-BUSINESS,commuting,int2n,Tell me about the car or bus you go to work in.  What does it look like?  Give me as many details as  you can.,Credu,i like watching tv my free time,13.815873015873017,0.054733991622924805,0.00396167448557475
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_2276,2276,,WORK-BUSINESS,commuting,nov1,"How do people travel? By car, by bicycle,  how else do they travel?",Credu,im sometimes in shopping walking is of around,14.86077097505669,0.056073665618896484,0.003773267599171959
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_5609,5609,,GENERAL,holidays,int2n,Tell me about some of the holidays in your country.,Credu,im showing i think house,13.862358276643992,0.05001974105834961,0.003608313972278831
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_5611,5611,,GENERAL,holidays,nov1,"Who do you celebrate holidays with? Mother, son... what other family members?",Credu,my family and mother my sister and brother,7.546485260770975,0.05063676834106445,0.006709980420195139
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_5430,5430,,GENERAL,free time,intrp,"You want to get together with a friend this weekend. Call your friend and ask three or four questions about when you can meet, and what you can do.",Credu,that i can see study and watching tv and watching tv and i good,16.857732426303855,0.05775642395019531,0.0034261087131787337
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_1029,1029,,INTERESTS,Read Books,int2,What kinds of books and what authors do you like to read?,Credu,im in oil sunday im working down,13.699773242630386,0.05493736267089844,0.004010092845912707
1906858,2224595,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,152.0,,,,,bk-opic-responsefiles-kr-prod/2224595/2224595_1508,1508,,INTERESTS,Read Books,int3q,I like to read books in my free time.  Ask me 3 or 4 questions about the books and authors I like.,Credu,i like watching tv and listen to music and thank you,10.866984126984127,0.05563616752624512,0.005119743148247849
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_1570,1570,,WORK-BUSINESS,responsibilities,int2n,Describe what you do at work everyday from the time you arrive to the time you leave?,Credu,sorry,2.995691609977324,0.045757293701171875,0.01527436721082189
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_1573,1573,,WORK-BUSINESS,responsibilities,nov1,"What days of the week do your work?.. Monday, ..what other days.",Credu,sorry,2.5310204081632652,0.04550886154174805,0.01798044037692029
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_5609,5609,,GENERAL,holidays,int2n,Tell me about some of the holidays in your country.,Credu,yeah,7.9412698412698415,0.04915642738342285,0.006189995852799599
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_5612,5612,,GENERAL,holidays,nov1,"What do you do on holidays? Sing, eat... what other things?",Credu,sorry,3.7848979591836733,0.04623556137084961,0.012215801289613021
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_6791,6791,,GENERAL,common industries,int2n,Choose one major industry in your country and tell me about the kinds of jobs people have in that industry. Give me lots of examples. ,Credu,,2.2291609977324263,0.04436492919921875,0.019902074926103665
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_6793,6793,,GENERAL,common industries,nov1,"What kinds of jobs do people do? Banker, laywer…. Name all the jobs that people do.",Credu,i work now electronics,5.294195011337869,0.048662424087524414,0.00919165689652735
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_2400,2400,,GENERAL,restaurants,int2n,Can you describe one of your favorite restaurants.  Describe the restaurant and tell me what you like about the restaurant.,Credu,sorry,1.7183219954648525,0.046861886978149414,0.027271889146406467
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_2405,2405,,GENERAL,restaurants,nov1,"What things are in the restaurant.  Tables, cups..... what other things?",Credu,sorry,2.089795918367347,0.0451967716217041,0.021627361420541998
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_3100,3100,,HOME,alone house,intrp,"You want to buy a new piece of furniture for your home. At the store, you see a piece that you like, but you have some questions about it. Pretend you are speaking with the salesperson. Ask 3 or 4 questions to get all of the information you need about the furniture you like.",Credu,sorry,2.9024943310657596,0.04630017280578613,0.015951856411993502
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_1128,1128,,TRAVEL,take vacation internationally,int2,Can you describe for me one of the countries or cities you have visited.  What does it look like and what are the people like?,Credu,,3.900997732426304,0.04593968391418457,0.011776393390931674
1906860,2224423,Credu,01-03-2018,Form 1 - ACTFL,NL,0,Retest,NL,3313.0,,,,,bk-opic-responsefiles-kr-prod/2224423/2224423_1498,1498,,TRAVEL,take vacation internationally,int3q,"I like to go to Montreal, Canada.  Ask me 3 or 4 questions about Montreal to see if you would like to visit that city, too.",Credu,i go to japan,3.4829931972789114,0.04662919044494629,0.013387677725404501
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_5445,5445,,GENERAL,furniture,int2n,Tell me about the furniture in your home.,Credu,i live hasong city i moved to hasan five years i my room is very clean and modern my room is two children i thank you,34.783537414965984,0.09652876853942871,0.002775127997703195
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_5446,5446,,GENERAL,furniture,nov1,"What colors is your furniture? White, brown... what other colors?",Credu,my favorite is color blue and brown brown brown is brown is,22.6859410430839,0.0627892017364502,0.0027677583053400505
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_2383,2383,,HOME,alone house,int2n,Can you describe your home to me?  Give me a good description of you home.,Credu,my home is hwaseong city i moved to hwaseong five years my room is very clean and modern i usually go to the tv tv,30.74326530612245,0.07119178771972656,0.0023156872573828024
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_2389,2389,,HOME,alone house,nov1,Where do you live - What is your address?  Give me the name of the street and city.,Credu,i liked hwaseong city i moved to hasan five years i my but i love i love hasong,17.7865306122449,0.06026816368103027,0.0033884159308471017
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_2617,2617,,TRAVEL,take vacation domestically,int2n,Tell me some of the places you like to travel to and why you like going there.,Credu,i went to hyundai last year i went to hyundai with my family i went there to swim i love hyundai beach,41.958503401360545,0.10709643363952637,0.002552436930723646
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_2622,2622,,TRAVEL,take vacation domestically,nov1,"What things do you do on vacation?  Swim, play... what are all the things you do on vacation.",Credu,i love swimming i went to hyundai last year i went to hyundai last i went to,22.755555555555556,0.0580294132232666,0.002550120698288083
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_5369,5369,,GENERAL,clothes,int2n,What kinds of clothes do people in your country wear? What styles are popular?,Credu,my favorite piece player jon i favorite sports game sports sport team tj i love player i home i home watch tv player i usually go to,44.88421768707483,0.11238408088684082,0.00250386631823158
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_5372,5372,,GENERAL,clothes,nov1,"What kinds of clothes are in your closet? Pants, shoes... what other clothes?",Credu,my shoes is white im sorry next question,9.705986394557824,0.05344390869140625,0.005506283083332201
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_3333,3333,,GENERAL,visit with family and/or friends,intrp,Your friend just returned from a vacation to the United States.  Ask your friend 3 or 4 questions to find out everything you can about his/her trip.,Credu,i love a park i usually go alone the park is very clean and beautiful theyre theyre theyre married theyre married and i moved to to my family,53.01120181405896,0.13101816177368164,0.002471518420450801
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_582,582,,ACTIVITIES,go to the movies,int2,Tell me about the kinds of movies that you like to see.,Credu,i moved to hwaseong cgv i my favorite actor is jung wung and sung eye my son next question,29.094648526077098,0.07018542289733887,0.0024123138258375153
1906861,2224592,Credu,01-03-2018,Form 1 - ACTFL,NH,0,Retest,NH,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224592/2224592_2970,2970,,ACTIVITIES,go to the movies,int3q,I like to go to the movies too.  Ask me 3 or 4 questions to find out about the movies I like to watch.,Credu,my favorite movie is young my favorite is actor chung sung youre actor actor world star im rolling star love thank you,33.41356009070295,0.07610273361206055,0.002277600273825222
1906864,2224433,Credu,01-03-2018,Form 1 - ACTFL,NM,0,Retest,NM,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224433/2224433_2247,2247,,WORK-BUSINESS,colleagues,int2n,Describe one of your work colleagues.  What does he or she look like?,Credu,i like jacker manchester thank you,32.879501133786846,0.06897950172424316,0.0020979485498750497
1906864,2224433,Credu,01-03-2018,Form 1 - ACTFL,NM,0,Retest,NM,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224433/2224433_2251,2251,,WORK-BUSINESS,colleagues,nov1,What things are in your office?  A desk.. what else?,Credu,machine,22.639455782312925,0.05465197563171387,0.0024140145486363997
1906864,2224433,Credu,01-03-2018,Form 1 - ACTFL,NM,0,Retest,NM,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224433/2224433_5609,5609,,GENERAL,holidays,int2n,Tell me about some of the holidays in your country.,Credu,i like im sorry,26.122448979591837,0.06161904335021973,0.0023588540032505986
1906864,2224433,Credu,01-03-2018,Form 1 - ACTFL,NM,0,Retest,NM,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224433/2224433_5612,5612,,GENERAL,holidays,nov1,"What do you do on holidays? Sing, eat... what other things?",Credu,last thing sorry,15.534195011337868,0.054334163665771484,0.003497713504054434
1906864,2224433,Credu,01-03-2018,Form 1 - ACTFL,NM,0,Retest,NM,3444.0,,,,,bk-opic-responsefiles-kr-prod/2224433/2224433_7038,7038,,INTERESTS,invest in stocks,int2n,"Tell me about the devices you use to follow the stock market. Do you use a smartphone, laptop, etc.? Tell me about the devices you use in detail.",Credu,i see difficult sorry,22.08222222222222,0.0593256950378418,0.0026865817416754363
